
約定履歴

商品指定,約定開始年月日,約定終了年月日
"すべて","2020年01月01日","2020年12月31日"

国内約定日,銘柄名,銘柄コード,市場,商品区分,注文種別,取引,預り区分,約定数量,約定単価,国内受渡日,受渡金額
"2020/09/18","バンガード S&P 500 ETF","VOO","NYSEArca","米国株式","成行","買付","特定預り","8","306.4800USD","2020/09/24","257,345円"
"2020/09/29","iシェアーズ コア　米国高配当株 ETF","HDV","NYSEArca","米国株式","成行","買付","特定預り","22","80.2400USD","2020/10/01","187,423円"
